ID;periodo;ano;duracao.dias;carga.horaria;modalidade;categoria;local.curso;municipio;UF;latitude;longitude;organizadores;nome.curso;foco.curso; participantes;alunos;instrutores;colaboradores;instrutores.origem;programa.curso;lista.participantes;relatorio.descritivo;fotos;origem.informacoes;observacoes
001;03-11/08;1993;9;60;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19.576833;-57.01915;CEMAVE-Ibama, UFMS;XIII Curso A Ornitologia na Conservação das Aves Silvestres;Anilhamento;18;15;2;1;Inês de Lima Serrano do Nascimento - Bióloga - CEMAVE-Ibama, Renato Torres Pinheiro - Biólogo - PROAVES/CEMAVE-Ibama;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Durante o curso os participantes ajudaram no combate à incêndios na área
002;19-27/11;1999;9;80;Presencial;Ministrado;Estação Ecológica do Taim;Rio Grande;RS;-32.538828;-52.538712;CEMAVE-Ibama, UCPEL;Técnicas de Pesquisa e Conservação em Aves Silvestres;Anilhamento;18;12;2;4;João Luiz Xavier do Nascimento - CEMAVE-Ibama, Maximiliano Pinheiro Cirne - UCPEL;Sim;Sim;Não;Não;Relatório de Atividades CEMAVE;
003 ;24-27/06;1997;4;34;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-Ibama, PROAVES - Associação Brasileira para Conservação de Aves;A Ornitologia na Conservação de Aves Silvestres;Anilhamento;24;21;3;;Albano Schluz Neto - CEMAVE-Ibama, Ailton C. de Oliveira - CEMAVE-Ibama, Jussara Macedo Flôres;Sim;Sim;Não;Não;Relatório de Atividades CEMAVE;III Mini-curso
004;06-12/08;1996;7;60;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19.576833;-57.01915;CEMAVE-Ibama, UFMS;A Ornitologia e a Conservação de Aves Silvestres;Anilhamento;18;14;3;1;Augusto José Piratelli - UFSCAR-Sorocaba, Inês de Lima Serrano Nascimento - CEMAVE-Ibama, Masao Uetanabaro - UFMT;Sim;Sim ;Sim;Não;Relatório de Atividades CEMAVE;
005;09-15/11;2008;7;60;Presencial;Ministrado;Estação Ecológica Serra das Araras;Cáceres;MT;-15.642289;-57.188215;CEMAVE-ICMBio, UFMT, ESEC Serra das Araras, Anilhas Capri;Introdução ao Anilhamento de Aves Silvestres;Anilhamento;22;14;8;;Rafael Valadão - ESEC Serra das Araras, Márcia Cristina Pascotto - UFMT, Andrei Roos - CEMAVE, Raquel Lacerda - CEMAVE, Fernando Fávaro - CEMAVE, Dalci Miranda de Oliveira - UFMT, Renato Torres - UFT, João Batista de Pinho - UFMT;;;;;;
006;02-13/05;2011;11;100;Presencial;Ministrado; Floresta Nacional de Ipanema - ACADEBIO;Iperó;SP;-23.43334;-47.597183;CEMAVE/COMOB/CGGP;Aves como Bioindicadores para Monitoramento de UCs;Monitoramento;29;18;11;;Manuella Andrade - CEMAVE, Andrei Roos - CEMAVE, Thiago Orsi - PARNA Viruá, Fernando Favaro - PARNA Ilha Grande, Luciano Regalado - FLONA Ipanema, Maria Flavia Nunes - ACADEBIO, Arthur Brandt - COMOB, Elivan Arantes - CEMAVE, Patricia Pereira Serafini - CEMAVE, Augusto José Piratelli - UFSCAR Sorocaba;Sim;Sim;Sim;Sim;Relatório de Atividades CEMAVE;"Primeiro curso oferecido no Programa de Capacitação
 Interna do ICMBio"
007;21-25/01;2019;5;50;Presencial;Ministrado;Reserva Biológica de Guaribas;Mamanguape;PB;-6.742278;-35.142285;CEMAVE e REBIO Guaribas;Curso Básico de Anilhamento de Aves Silvestres;Anilhamento;21;15;6;;Antonio Emanuel B. Alves de Sousa - CEMAVE, Antonio Eduardo Araújo Barbosa - CEMAVE, Diego Mendes Lima - CEMAVE, Elivan Arantes de Souza - CEMAVE, Manuella Andrade de Souza - CEMAVE, Priscilla Prudente do Amaral - CEMAVE;Sim;Sim;Sim;Sim;Relatório de Atividades CEMAVE;
008;06-10/09;1989;5;45;Presencial;Ministrado;Refúgio Biológico de Bela Vista;Foz do Iguaçu;PR;-25.454535;-54.584998;CEMAVE-Ibama, Prefeitura Municipal de Curitiba/Museu de História Natural, Itaipu Binacional/Departamento de Meio Ambiente;I Curso Paranaense de Anilhamento de Aves;Anilhamento;16;13;3;;Inês de Lima serrano do Nascimento - CEMAVE , Paulo de Tarso Zuquim Antas - CEMAVE, Pedro Scherer Neto - Museu de História Natural/Prefeitura Municipal de Curitiba;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Alunos oriundos das seguintes instituições: Sociedae de Pesquisa de Vida Silvestre, Klabin Papel e Celulose e Itaipu Binacional
009;29/01-02/02;1990;5;12;Presencial;Ministrado;Londrina;Londrina;PR;-23.312156;-51.162773;CEMAVE-Ibama e Universidade Estadual de Londrina - UEL;Anilhamento de Aves - Noções Básicas e Aplicações;Anilhamento;22;20;2;;Inês de Lima serrano do Nascimento - CEMAVE, Paulo de Tarso Zuquim Antas - CEMAVE;Sim;Não;Não;Não;Carta nº 103/89-CEMAVE;Mini-curso - supostamente realizado no âmbito do Congresso Brasileiro de Zoologia - Não há relatórios confirmando sua execução, mas tão somente carta de articulação de sua realização
010;16-23/10;1995;8;80;Presencial;Ministrado;Parque Nacional do Itatiaia;Itatiaia;RJ;-22.460599;-44.60049;CEMAVE-Ibama e APROPANI - Associação Pró-Parque Nacinal do Itatiaia;Tópicos de Ornitologia e Conservação de Aves Silvestres;Anilhamento;24;21;3;;João Luiz Xavier do Nascimento - CEMAVE, Élio Gouveia, Márcia Simões Carvalho;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Curso Regional
011;11-15/05;1988;6;40;Presencial;Ministrado;Natal;Natal;RN;-5.750899;-35.252255;CEMAVE-Ibama e Clube de Observadores de Aves - Núcleos de MG e RN;I Curso Nordestino de Anilhamento de Aves Silvestres;Anilhamento;21;16;5;;Paulo de Tarso Zuquim Antas - CEMAVE, Pedro Scherer Neto - Museu de História Natural de Curitiba, Henry Ramos Matthews - Escola Superior de Agricultura de Mossoró (ESAM), Marco Antônio de Andrade - Instituto Estadual de Florestas de Minas Gerais - IEF, Roberto Otoch - Fortaleza, CE;Sim;Não;Não;Não;Material de divulgação;Número de participantes estimado a partir do número de vagas oferecido no material de divulgação (16)
012;27/09-03/10;1987;7;50;Presencial;Ministrado;Baía de São Marcos - Ilha do Cajual;Alcântara;MA;-2.477852;-44.48578;CEMAVE-IBDF, Canadian Wildlife Service, Companhia Vale do Rio Doce/International Waterfowl Research Bureau;Noções sobre o Uso de Aves como Indicadores Biológicos das Condições Ambientais;Anilhamento;;;3;;Severino Mendes de Azevedo Junior, Paulo de Tarso Zuquim Antas - CEMAVE, Dr. R. I. Morrison;Sim;Não;Não;Não;Certificado (2ª via) - Luiz Sérgio Rocha Duarte;Consta 2ª via do Certificado do aluno Luiz Sérgio Rocha Duarte
013;06-13/08;1991;8;80;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19.576833;-57.01915;CEMAVE-Ibama, Universidade Federal do Mato Grosso do Sul - UFMS;XII Curso de Anilhamento de Aves: Uso do Anilhamento na Conservação de Aves Silvestres;Anilhamento;22;18;4;;Paulo de Tarso Zuquim Antas - CEMAVE, Inês Lima Serrano do Nascimento - CEMAVE, Ivandy Nascimento - CEMAVE, Benedito Salvador Ataquile - UNESP-Rio Claro;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;
014;29/10-08/11;1991;11;80;Presencial;Ministrado;Parque Nacional Marinho de Fernando de Noronha;Fernando de Noronha;PE;-3.852021;-32.435186;CEMAVE-SUPES-PARNAMAR-Ibama, Associação Brasileira para a Conservação de Aves - Pró-Aves, Fundação Centro Brasileiro de Proteção e Pesquisa das Tartarugas Marinhas - Pró-TAMAR;I Curso de Anilhamento de Aves Silvestres do Arquipélago de Fernando de Noronha;Anilhamento;14;12;2;;Albano Schultz Neto - CEMAVE, Simone Fraga Tenório Pereira;Não;Sim;Sim;Não;Relatório de Atividades CEMAVE;
015;13-23/01;1981;11;100;Presencial;Ministrado;Estação Ecológica do Taim;Rio Grande;RS;-32.538828;-52.538712;CEMAVE-IBDF;IV Curso de Observação e Anilhamento de Aves;Anilhamento;19;14;5;;Helmut Sick - Academia Brasileira de Ciências/RJ, Flávio Silva - Parque Zoológico de Sapucaia do Sul/RS, Walter Adolfo Voss - São Leopoldo/RS, João Alberto Fabrício Filho - Porto Alegre/RS, Paulo de Tarso Zuquim Antas - CEMAVE-Brasília, DF;Sim;Sim;Não;Não;Material de divulgação;Contém dois certificados assinados: Ney carnevalli e Fernando Chaves. Aparentemente, se inscreveram, mas não participaram do curso.
016;03-08/09;1982;6;50;Presencial;Ministrado;Fazenda Campo Grande;Passa Tempo;MG;-20.652576;-44.493704;CEMAVE-IBDF;Curso de Observação e Identificação de Aves;Anilhamento;16;14;2;;Paulo de Tarso Zuquim Antas - CEMAVE;Não;Sim;Não;Não;Lista de Participantes;
017;27/11-09/12;1978;15;120;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-IBDF;I Curso de Anilhamento e Observação de Aves Silvestres Brasileiras;Anilhamento;22;17;5;;Willian Belton - Gramado/RS, Helmut Sick - Academia Brasileira de Ciências/RJ, Cleber Alho - UnB, Rafael Neret - SEMA-MI, Eduardo Kunze Bastos - IBDF/FBCN;Sim;Sim;Sim;Não;Relatórios de Atividades CEMAVE;Alguns documentos de valor histórico - correspondências
018;30/11-04/12;2015;5;47;Presencial;Ministrado;Estação Ecológica de Carijós;Florianópolis;SC;-27.472798;-48.491382;CEMAVE-Base Avançada de Florianópolis;I Seminário de Monitoramento de Aves Silvestres em Unidades de Conservação de Santa Catarina;Anilhamento;48;36;9;3;Camile Lugarini - CEMAVE, Andrei Langeloh Roos - RESEX Pirajubaé-ICMBio, Danielle Paludo - CEMAVE, Manuella Andrade de Sousa - CEMAVE, Patricia Pereira Serafini - CEMAVE, Gonçalo Ferraz - UFRS, Elsimar Silveira da Silva - CAIPORA, Fabricio Basilio - APRENDER, Fernando Bittencourt Farias - Plaza Caldas da Imperatriz Resort & Spa;Sim;Sim;Sim;Não;Memória do Seminário;36 horas de aulas teóricas (36 participantes) e 11 horas de atividades práticas (17 participantes)
019;;;;;Presencial;Ministrado;;;;;;;II Curso de Observação e Anilhamento de Aves;Anilhamento;21;14;7;;Helmut Sick - Academia Brasileira de Ciências/RJ, Flávio Silva - Parque Zoológico de Sapucaia do Sul/RS, Walter Adolfo Voss - São Leopoldo/RS, C. C. Olrog - Instituto Miguel Lillo - Agentina, Germano Guari Neto - UFMT, Gilberto Oliveira de Aguiar - UFMT, Rick Hansen - IBDF/DF;Não;Sim ;Não;Não;Lista de Participantes;
020;28/03-13/04;1988;17;120;Presencial;Ministrado;Parque Nacional da Lagoa do Peixe;Tavares;RS;-31.288703;-51.088843;CEMAVE-IBDF/ Fish and Wildlife Service, The Nature Conservancy, FUNATURA, Universidade do Vale do Rio dos Sinos - Unisinos, Fundação Zoobotânica do Rio Grande do Sul - FZTRGS;VIII Curso de Anilhamento de Aves Silvestres;Anilhamento;;16;;;;Não;Não;Não;Não;Relatório Preliminar (Provisional report);Não há lista de participantes, nem identificação dos instrutores. O relatório preliminar informa que participaram 16 alunos, sendo: 3 da Argentina, 1 do Peru, 1 de MG, 4 do RJ, 2 de SP, 1 de SC e 4 do RS.
021;01-12/03;1991;12;100;Presencial;Ministrado;Estação Ecológica do Tapacura e Base de Pesquisa em Aves Migratórias da Coroa do Avião;Itamaracá;PE;-7.746573;-34.823951;CEMAVE-Ibama, Universidade Federal Rural de Pernambuco - UFRPE;XI Curso de Anilhamento de Aves;Anilhamento;18;11;4;3;Paulo de Tarso Zuquim Antas - CEMAVE-Ibama, João Luiz Xavier do Nascimento - CEMAVE-Ibama, Severino Mendes de Azevedo Junior - UFRPE, Albano Schultz Neto - CEMAVE-Ibama, Lucian José de Lacerda Interaminense (monitor), Simone Fraga Tenório Pereira (monitora), Raquel Melo de Carvalho (monitora);Não;Sim;Sim;Não;Relatório de Atividades CEMAVE;
022;25/05-03/06;1994;10;80;Presencial;Ministrado;Floresta Nacional do Araripe e Estação Ecológica de Aiuaba;Crato;CE;-7.340399;-39.432027;CEMAVE-Ibama, ESEC Aiuaba, Universidade Federal Rural de Pernambuco - UFRPE, Prefeitura Municipal do Crato, Universidade Regional do Cariri - URCA;O Uso do Anilhamento na Conservação das Aves Silvestres;Anilhamento;15;11;2;2;João Luis Xavier do Nascimento - CEMAVE-Ibama, Severino Mendes de Azevedo Junior - UFRPE;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Curso Regional
023;06-08/06;1995;3;27;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-Ibama;A Ornitologia na Conservação das Aves Silvestres;Fiscalização;33;31;2;;João Luis Xavier do Nascimento - CEMAVE-Ibama, Inês de Lima Serrano Nascimento - CEMAVE-Ibama;Sim;Sim;Não;Não;Relatório de Avaliação do Curso;Curso de curta duração para técnicos do Ibama
024;13-22/06;1995;10;80;Presencial;Ministrado;Estação Ecológica de Aiuaba e Floresta Nacional do Araripe-Apodi;Aiuaba;CE;-6.68903;-40.213018;CEMAVE-Ibama, ESEC Aiuaba, FLONA Araripe-Apodi, PROAVES;A Ornitologia na Conservação das Aves Silvestres;Anilhamento;13;11;2;;João Luis Xavier do Nascimento - CEMAVE-Ibama, Albano Schulz Neto - CEMAVE-Ibama;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;
025;10-18/08;1999;9;85;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19.576833;-57.01915;CEMAVE-Ibama, Universidade Federal de Mato Grosso do Sul - UFMS;Técnicas de Pesquisa e Conservação de Aves Silvestres;Anilhamento;13;11;2;;Inês de Lima Serrano Nascimento - CEMAVE-Ibama, Augusto João Piratelli - UFMS;Não;Sim;Sim;Não;Relatório de Atividades CEMAVE;Cópias de certificados não assinados
026;10-14/09;2019;5;50;Presencial;Ministrado;Floresta Nacional Araripe-Apodi;Crato;CE;-7.340399;-39.432027;CEMAVE, APA e FLONA Araripe-Apodi e Aquasis;Curso Básico de Anilhamento de Aves Silvestres;Anilhamento;28;20;8;;"Antonio Emanuel Barreto Alves de Sousa (CEMAVE); Elivan Arantes de Souza (CEMAVE); Weber Andrade de Girão e Silva (AQUASIS); Rafael Gustavo Becker (AQUASIS); José Onofre N. Monteiro (AQUASIS); Cristiano Marcelo da Silva Nascimento (IFPB); Paulo Fernando Meier Souza (APA Araripe); Cecília Licarião (Aves de Noronha)";Sim;Sim;Sim;Sim;Relatório de Atividades CEMAVE;Segundo curso realizado na FLONA do Araripe, o primeiro ocorreu em 1995.
027;10-14/06;2013;5;50;Presencial;Ministrado;Parque Nacional do Pantanal Matogrossense;Poconé;MT;-17.661746;-57.430547;CEMAVE-ICMBio, CGGP-ICMBio, UFMT;Curso Nacional de Anilhamento de Aves Silvestres;Anilhamento;21;18;3;;Aílton Carneiro de Oliveira – CEMAVE, Antonio Emanuel Barreto Alves de Sousa - CEMAVE, Dalci Maurício Miranda de oliveira – UFMT;Não;Não;Não;Não;Edital de divulgação de cursos;
028;25-30/05;2014;6;32;Presencial;Ministrado;Hotel Costa do Atlântico;Areia Branca;RN;-4.950859;-37.125724;CEMAVE-ICMBio, CGPEG-Ibama;I Curso de Anilhamento de Aves Marinhas para Equipes de Projetos de Monitoramento de Praias (PMPs);Anilhamento;47;42;5;;Patrícia Serafini - CEMAVE, Aílton Carneiro de Oliveira - CEMAVE, Diego Mendes Lima - CEMAVE, Antonio Emanuel Barreto Alves de Sousa - CEMAVE, Manuella Souza - CEMAVE;Sim;Sim ;Não;Não;Programa do curso;Curso ministrado em atendimento ao que consta no Relatório de Vistoria Nº 011/2013/CGPEG/DILIC/IBAMA (licenciamento ambiental)
029;17-21/08;2015;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio;Técnicas de Pesquisas com Aves Silvestres;Anilhamento;;;;;Aílton Carneiro de Oliveira - CEMAVE, Diego Mendes Lima - CEMAVE, Antonio Emanuel Barreto Alves de Sousa - CEMAVE, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília;Sim;Não ;Não;Não;Programa do curso;
030;17-21/10;2016;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;21;15;6;;Aílton Carneiro de  Oliveira – CEMAVE, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília, Luane R. Santos – Universidade de Brasília, Raquel Lacerda- IBAMA, Renata Membribes Rossato - CEMAVE, Rita de Cássia Surrage de Medeiros– CEMAVE;Sim;Sim;Não;Não;Edital de divulgação de curso;
031;29/05-02/06;2017;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;20;15;5;;Aílton Carneiro de Oliveira - CEMAVE, Maria Isabel ??????, João Bosco Sampaio - IBRAM, Raquel Caroline Alves Lacerda - Ibama, Renata Rossato - CEMAVE;Sim;Sim;Não;Não;Edital de divulgação de curso;
032;16-20/10;2017;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;17;12;5;;Mesmos instrutores do curso 031;Não;Sim;Não;Não;Edital de divulgação de curso;A lista tem 17 pessoas... o edital fala em 15 vagas.
033;23-27/04;2018;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;19;12;7;;Aílton Carneiro de Oliveira - CEMAVE, Rita de Cassia Surrage de Medeiros - CEMAVE, Raquel Caroline Alves Lacerda - Ibama, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília;Sim;Sim;Não ;Não;Edittal de dibulgação do 1º curso de 2018 - Base CEMAVE Brasília;
034;29/07-02/08;2019;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;17;12;5;;Aílton Carneiro de Oliveira - CEMAVE, Renata Rossato - CEMAVE, Raquel Caroline Alves Lacerda - Ibama, Lia Nahomi Kajiki - UnB, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília;Sim;Sim;Não ;Não;Edittal de dibulgação do 1º curso de 2019 - Base CEMAVE Brasília;
035;23-27/05;2011;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio, PMDF;Noções Básicas para Identificação de Aves Silvestres;Fiscalização;49;46;2;1;Aílton Carneiro de Oliveira - CEMAVE, João Bosco Sampaio - IBRAM, Renata Rossato - CEMAVE;Sim;Não ;Não ;Não;Programação do curso;
036;05-09/11;2012;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15.737009;-47.925824;CEMAVE-ICMBio, Infraero;Curso Básico de Anilhamento de Aves Silvestres;Anilhamento;23;20;3;;Antonio Emanuel Barreto Alves de Sousa - CEMAVE, Aílton Carneiro de Oliveira - CEMAVE, Roberta Costa Rodrigues - UFPB;Sim;Sim;Não ;Sim;Curso Infraero;
037;16/04;2019;1;8;Presencial;Ministrado;Parque Zoobotânico de Salvador;Salvador;BA;-13.009374;-38.504758;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;43;37;6;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Marianna de Santqna Pinho - INEMA, Érika Garcez Rocha - INEMA, Marcus França Moreira - PRF, Gláucia Helena Fernandes Seixas - Parques das Aves e Fundação Neotrópica do Brasil;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
038;24/04;2018;1;8;Presencial;Ministrado;Sede do Batalhão da Polícia Ambiental Força Verde - PMPR;Curitiba;PR;-25.514832;-49.205167;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;51;46;5;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Marianna de Santqna Pinho - INEMA, Pedro Scherer Neto - Prefeitura Municipal de Curitiba, Manoel Lucas Javorouski - Prefeitura Municipal de Curitiba - Zoológico Municipal, Thais Michele Fernandes - Ibama;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
039;21/11;2018;1;8;Presencial;Ministrado;Jardim Zoológico do Rio de Janeiro - RioZoo;Rio de Janeiro;RJ;-22.90481;-43.229401;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;39;35;4;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS,  Gláucia Helena Fernandes Seixas - Parques das Aves e Fundação Neotrópica do Brasil, Tenente Calandrini - Polícia Ambiental de São Paulo;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
040;13/06;2018;1;10;Presencial;Ministrado;Sede do Comando do Policiamento Militar Ambiental - CPMA;Florianópolis;SC;-27.608794;-48.589898;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;42;39;3;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Thais Michele Fernandes - Ibama;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
041;18/04;2018;1;8;Presencial;Ministrado;Fundação Parque Zoológico de São Paulo;São Paulo;SP;-23.650872;-46.620374;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;24;21;3;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Marcos de Castro Simanovic - PMSP;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
042;14/08;2019;1;8;Presencial;Ministrado;Instituto de Meio Ambiente do Mato Grosso do Sul - IMASUL;Campo Grande;MS;-20.439983;-54.557885;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;114;111;3;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Gláucia Helena Fernandes Seixas - Parques das Aves e Fundação Neotrópica do Brasil;Sim;Sim ;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório - Há um erro no número de alunos indicados no relatório - são 111 alunos na lista e 114 participantes, não 118
043;05 a 30/10;2017;11;60;Presencial;Recebido;Floresta Nacional da Restinga de Cabedelo;Cabedelo;PB;-7.061546;-34.852744;CEMAVE-ICMBio, UFPB;Fundamentos do Processamento e Análise de Dados em Ecologia e Monitoramento Ambiental Usando o R;Análise de dados;24;20;2;2;Professores: Dr. Rafael L.G. Raimundo e Dr. Pablo Riul (DEMA/CCAE/UFPB). Monitores: Camila Garcia Gomes e Elliott Chaves (ICMBio/CEMAVE).;Sim;Sim ;Sim;;Relatório do curso;
044;21-22/02;2018;2;12.5;Presencial;Ministrado;Base Multifuncional do CEMAVE em Florianópolis, SC - ESEC Carijós;Florianópolis;SC;-27.472798;-48.491382;CEMAVE-ICMBio, Ibama, Projeto Albatroz;I Workshop de Capacitação de Agentes do Ibama para Fiscalização da IN nº 07/2014;Fiscalização;35;29;6;;Dimas Gianuca - Projeto Albatroz, Tatiana Neves - Projeto Albatroz, Augusto Silva Costa  -Projeto Albatroz, Gabriel Canani Sampaio - Projeto Albatroz, Rodrigo Claudino  -Consultor GEF Mar MMA, Patricia Pereira Serafini - ICMBio/CEMAVE;Sim;Sim ;Sim;Sim;Relatório do curso;"Curso realizado no âmbito da implementação do Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis
- PLANACAP - fotos do curso no relatório "
045;22 a 24/9;2020;3;12;Virtual;Ministrado;;;;;;CEMAVE e Universidade Federal do Sul da Bahia - UFSB;Ecologia e Conservação de Aves;Ecol. Cons. Aves;33;30;1;2;Priscilla Prudente do Amaral - CEMAVE;Sim;Não ;Não;Não;Comunicação Pessoal;Curso realizado na II Semana de Biologia da UFSB, durante a pandemia de COVID-19
046;26/11;2015;1;7.5;Presencial;Ministrado;Jardim Botânico Benjamim Maranhão;João Pessoa;PB;-7.135609;-34.860366;Batalhão de Policiamento Ambiental da Paraíba e CEMAVE;Reconhecimento e Manejo de Aves Silvestres;Fiscalização;29;25;2;2;Diego Mendes Lima - CEMAVE e Priscilla Prudente do Amaral - CEMAVE;Sim;Não ;Sim;Sim;Programação do curso;"Curso elaborado a pedido do Batalhão de Polícia; compôs um curso mais amplo de aperfeiçoamento dos policiais ambientais (Curso Tático Ambiental)."
